	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change_log2	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value	sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2	sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value
N-(2-methoxyethyl)-4-[4-(2-methoxyethylsulfamoyl)phenyl]benzenesulfonamide	0.412008982614774	0.491005480557369	0.107169911308928	0.957431289751606	-0.304839071305846	0.64488309781012
Tricosanoylglycine	0.0480308128551121	0.985090219041531	0.453172743304107	0.247211580154751	0.405141930448995	0.302429646176946
1-[2-(3,4-dimethoxyphenyl)ethyl]-2-imino-10-methyl-5-oxo-N-(2-oxolanylmethyl)-3-dipyrido[3,4-c:1',2'-f]pyrimidinecarboxamide	-0.431617588019474	0.34418219727472	-0.487927297243107	0.281708759748932	-0.0563097092236332	0.984660196106546
phenylalanine	-0.0872040817932874	0.941628666605796	0.490891226206001	0.132741364061184	0.578095307999289	0.0869502682841682
methometon	0.250336449063572	0.723249135402657	0.1265229416912	0.923946547821672	-0.123813507372373	0.913993034583381
N-(2-oxolanylmethyl)-2-[7-oxo-3-(phenylmethyl)-6-triazolo[4,5-d]pyrimidinyl]acetamide	0.410359726822985	0.642394315288519	0.376988312460352	0.69123419568228	-0.0333714143626333	0.995934596805905
salicylic acid-2-O-glucoside	-0.379915613183275	0.239637227382468	-0.385899910266013	0.232280864155153	-0.00598429708273747	0.999652676413931
n-Dimethylarginine	-0.104865834590897	0.932260503035811	-0.0854755346190226	0.95369599216008	0.0193902999718747	0.997716801180348
Usf-19a	0.334545615207841	0.643931828605339	0.133041626885308	0.937653052888812	-0.201503988322533	0.833084067732801
6-{[6-(3,4-dihydroxy-6-methyl-5-oxooxan-2-yl)-7-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid	0.386918309225395	0.562162747945541	0.514233446096368	0.357085663421345	0.127315136870973	0.908177067882597
trans-EKODE-(E)-Ib	0.255651670752742	0.721112081997098	0.0770369186831669	0.972815044746214	-0.178614752069575	0.841396225229292
N-(3-Hydroxy-1-oxohexadecyl)-glycine	0.148649524294921	0.898625993427175	0.120244657615093	0.933320901559073	-0.0284048666798281	0.995695231601219
2-methyl-3-(3,7,11,15-tetramethylhexadec-2-enyl)naphthalene-1,4-dione	0.198332692315712	0.832213283094932	0.116808559833805	0.940420221377511	-0.0815241324819073	0.966105960558624
1-(ethylamino)-3-[3-(ethylamino)-2-hydroxypropoxy]-2-propanol	0.0775758890221287	0.959044343115445	0.484312289459979	0.193951360238652	0.40673640043785	0.273508605893942
LSM-1313	-0.259814499073648	0.647876387221993	-0.389211064522441	0.434840776242404	-0.129396565448793	0.916554243786834
1-(1-b-Glucopyranosyl)-1H-indole-3-carbaldehyde	-0.473913597119039	0.271207177130447	-0.510210058586982	0.236742667878323	-0.036296461467943	0.993322436940507
1-isothiocyanato-9-(methylsulfinyl)nonane	0.31525784615181	0.637359958745172	0.218199017593757	0.810642455550592	-0.0970588285580528	0.948360483626706
3-hydroxydodecanedioic acid	0	1	0.540817450712239	0.21707149953668	0.540817450712239	0.21707149953668
Gallicynoic acid F	0.305639833407003	0.621819992110513	0.0187227209852702	0.998420704760705	-0.286917112421732	0.652131323805494
Gamma-Aminobutyryl-lysine	-0.399662919191868	0.546283362934987	-0.0317632100610068	0.994579478185251	0.367899709130861	0.600996228764254
propafenone	0.0208780561244943	0.998395082066479	0.421475161911086	0.466720827178313	0.400597105786592	0.49408801031085
Pentadecanoyl-EA	0.441257849935797	0.360559108813579	0.431082877115898	0.377429888073772	-0.0101749728198987	0.999132528215194
5-chloro-1-[(2-chlorophenyl)methyl]-3-methyl-4-pyrazolecarboxylic acid [2-[(5-methyl-3-isoxazolyl)amino]-2-oxoethyl] ester	-0.468187065808658	0.247452234266627	-0.378216603975087	0.355975581707266	0.0899704618335717	0.951274884035452
Podocarpiamide	-0.401348015268855	0.36975283348916	-0.509438172382406	0.249047157061139	-0.108090157113551	0.942332630856339
N-Linoleoyl Glutamine	-0.0658180084873213	0.98410537983981	0.349219490791522	0.576595864437904	0.415037499278844	0.48563129623631
leucopterin (keto form)	0.00166769646184543	0.999988260734047	0.478846923526989	0.32725265690285	0.477179227065144	0.329044662297659
scopoletin	0.118301552512227	0.946308274156004	0.312247920148505	0.660618060195968	0.193946367636278	0.834936009185174
xanthurenic acid	-0.437512108093238	0.269884633005694	-0.550018231312048	0.170680372611861	-0.11250612321881	0.929502575520383
N-tridecanoylglycine	0.185645427386198	0.78776563869199	-0.261509118430214	0.710698447560198	-0.447154545816412	0.36289741273687
Bussealin A	0.479407394774212	0.315622176888159	0.404033381699869	0.439258169795285	-0.075374013074343	0.955572075231659
32-methyltetratriacontan-1-ol	-0.694793114097767	0.0200663121814822	-0.408056905431763	0.105468544565315	0.286736208666004	0.414889200671516
N-acetylhistidine	0.220761509463314	0.739976397123962	0.044878583958359	0.988505855906126	-0.175882925504955	0.818307212046242
N-acetylphenylalanine	-0.0118989194492243	0.998634565729325	0.66953623798924	0.0270449694052106	0.681435157438464	0.0255190364018754
palmitelaidic acid	0.0334836504508088	0.991515318525504	0.046337144591416	0.983691737729845	0.0128534941406073	0.998702669439612
dopamine	0.0915958325439506	0.96053632560182	0.581800371929208	0.180001130579422	0.490204539385257	0.252776099175739
2-aminohexanoic acid	-0.0640334797150664	0.967468874307237	0.369300428049324	0.297400778223496	0.43333390776439	0.219867584990659
DL-alanyl-DL-phenylalanine	0.399536545327417	0.553860577976095	0.203373332338323	0.866071917130664	-0.196163212989094	0.839060065761201
asparagine	0.0396550311327227	0.987903637699606	0.377426469764682	0.317507545895438	0.33777143863196	0.377815132864218
Tetrakis(2-hydroxypropyl)ethylenediamine	0.186158704183374	0.837969155201841	-0.170625688366031	0.889457653647484	-0.356784392549405	0.580893358685198
9-(methylsulfanyl)nonanal oxime	0.112507426783769	0.957271821981289	0.165492001919169	0.907396860785409	0.0529845751353991	0.989140181629625
Bn-NCC-1	-0.34301446916118	0.512300025302878	-0.351499865225046	0.499000014458385	-0.00848539606386603	0.999641323577238
sildenafil	-0.35214608201156	0.505886385419065	-0.351643128875155	0.506662732465479	0.000502953136405346	0.999998779284965
N-acetylhexosamine	0.102803772142259	0.95522310952064	-0.0741590199749479	0.97905088846877	-0.176962792117206	0.880515963724325
glycyl-DL-phenylalanine	0.415037499278844	0.554599116702383	0.262970423563232	0.797698046743412	-0.152067075715612	0.902345990582266
(R)-1-O-[b-D-Glucopyranosyl-(1->6)-b-D-glucopyranoside]-1,3-octanediol	-0.339975325589329	0.557042517670579	-0.367418746459379	0.515822706255634	-0.0274434208700501	0.996750071761813
hexadecanamide	0.0805962653515537	0.956650333529121	0.328791009052461	0.461077280101269	0.248194743700908	0.612857959467073
6-{[5-(p-nitrophenoxy)-5-oxopentanoyl]amino}hexanoic acid	0.329087251999631	0.605763942681853	0.0593078090999536	0.985473243028641	-0.269779442899677	0.698148711478889
Harderoporphyrin	0.302444365738962	0.771148079490406	0.415037499278844	0.601527030394229	0.112593133539882	0.951569559597568
methylparaben	-0.445965518997827	0.440416099779596	-0.326515695654178	0.604610456725627	0.11944982334365	0.94813471827636
N-[(3-methyl-2-thiophenyl)methylideneamino]-2-thiophenecarboxamide	-0.0696621188772202	0.968555632249298	-0.264679913998292	0.683659322476062	-0.195017795121072	0.81657404385508
citric acid	0.327987096723037	0.599484903277979	0.161178401916176	0.889131747188677	-0.166808694806861	0.854763870434057
4-hydroxybenzaldehyde	0.21189592903034	0.700051870808122	0.662961903777614	0.0506219888040882	0.451065974747275	0.14429277438293
1-(benzenesulfonyl)-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine	0.252675162358115	0.794852752415136	0.154194062612091	0.921459187730629	-0.0984810997460246	0.960772650477947
triazoxide	-0.383422855774991	0.451017885913134	-0.411765602814208	0.411956780918821	-0.0283427470392169	0.996272476438899
3-Methyl-1-phenyl-1-butanone	-0.551059031541812	0.128615417378084	-0.586190130352636	0.110357963030999	-0.0351310988108231	0.992112503217162
8-Hydroxy-9,10-epoxystearic acid	0.299431064516317	0.643656544308132	0.1108065896731	0.945144777185438	-0.188624474843217	0.821547509933087
allyl diphosphate	-0.188061586648816	0.76596669575596	-0.129842813676641	0.873477916705098	0.0582187729721753	0.975973624712347
3-hydroxy-2-phenylpropanoic acid (8-methyl-8-azabicyclo[3.2.1]octan-3-yl) ester	0.0913168788268873	0.966332595774615	0.44947625161697	0.399332262256479	0.358159372790082	0.52237012154649
Phenethyl rutinoside	0.0281759309154239	0.996317484113006	-0.012904268914526	0.999247798470311	-0.04108019982995	0.992262598899862
N-(5-{[(5-tert-butyl-1,3-oxazol-2-yl)methyl]sulfanyl}-1,3-thiazol-2-yl)piperidine-4-carboxamide	-0.000410224508796833	0.999999302959077	0.466338130937793	0.351659871730715	0.46674835544659	0.351199076428845
5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]-8-(3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)-4H-chromen-4-one	0	1	0.824653548110245	0.000624692751173828	0.824653548110245	0.000624692751173828
[4-[hydroxy(diphenyl)methyl]-1-piperidinyl]-[4-[hydroxy(diphenyl)methyl]-1-triazolyl]methanone	0.262210757500627	0.707172361795343	-0.0912904135559641	0.96598069543285	-0.353501171056591	0.565677278240423
N(8)-acetylspermidine	0.287267710638536	0.792310012844905	0.256012964405576	0.83326696967372	-0.03125474623296	0.996593139591216
N-(2-aminoethyl)butane-1,4-diamine	0.390822492133365	0.569692246491051	0.237503783869971	0.820085578920722	-0.153318708263395	0.895924778831302
4-[ethyl-(phenylmethyl)sulfamoyl]-N-(5-methyl-1,3,4-oxadiazol-2-yl)benzamide	0.331396623487067	0.546966140060871	0.0500697901041327	0.987570981487424	-0.281326833382934	0.630644251919575
2-hydroxyphenylalanine	0.0449253985039032	0.991678783063174	0.144744971584629	0.912378654783068	0.0998195730807259	0.955680950307582
quercetin	0.273056480624568	0.786487207752508	0.445188456218546	0.511490184656785	0.172131975593978	0.876198341052142
N-[2-(1-cyclohexenyl)ethyl]-1-[cyclopropyl(oxo)methyl]-2,3-dihydroindole-5-sulfonamide	0.167798504981258	0.905622810845526	0.420152905463257	0.509853103408866	0.252354400482	0.74778669189987
4'-O-Methyldavidioside	-0.349295210927569	0.479687894190687	-0.470033695335192	0.319187199218642	-0.120738484407623	0.931594100197182
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	-0.281123421826817	0.534201596185502	0.130433797860992	0.824323475817726	0.411557219687809	0.270645391151069
pisoniamide	0.0283273258584829	0.997048895783883	0.420092890693881	0.470789482904691	0.391765564835398	0.508302973093191
N-Acetyldjenkolic acid	0.107457101417839	0.958078181632553	0.20837970961184	0.844336401642995	0.100922608194001	0.957301156206827
L-DOPA 3'-glucoside	0.202630968162169	0.868678370222255	0.404153242547301	0.550141174213739	0.201522274385132	0.832831149589689
6'-Apiosyllotaustralin	0.4941495051706	0.315593452584686	0.328304267423659	0.602651006936085	-0.165845237746941	0.82557941822792
2-aminooctadecane-1,3-diol	0.106438473086681	0.855246337759527	0.585409341902558	0.0287320067350342	0.478970868815876	0.0551870310967891
methyl 3,4-dihydroxybenzoate	-0.0120154330744061	0.999514110374556	0.047182499204614	0.99223136613767	0.0591979322790203	0.987907161129361
heptacosan-1-ol	-0.50122014219303	0.109755721957097	-0.386818370875896	0.203499732704636	0.114401771317134	0.880677354274927
2-methoxy-N-(4-methylphenyl)-4-(methylthio)benzamide	0.324228117843431	0.620711102194181	0.182832829275726	0.864814415150218	-0.141395288567705	0.896396497872861
N-stearoyl dopamine	0.0908754932876887	0.970443443063433	0.342170426980088	0.624372439675855	0.251294933692399	0.756409304798135
3-(3,4-dimethoxyphenyl)-2-methyl-N-[2-(4-morpholinyl)ethyl]-1-oxo-3,4-dihydroisoquinoline-4-carboxamide	-0.271024896718126	0.66251760562949	-0.357068564135381	0.523438829648666	-0.0860436674172552	0.966091167545094
5-Hydroxyvalproic acid	-0.406469798629671	0.481535759368457	-0.409286277790748	0.477809971845747	-0.00281647916107716	0.999970185121039
1-isothiocyanato-6-(methylsulfinyl)hexane	0.370240406594467	0.548051315661029	0.232902541150305	0.794441131442895	-0.137337865444161	0.899846816861181
acetylagmatine	0.238444496205186	0.754664829973794	0.0747714395592268	0.974555045083866	-0.163673056645959	0.86683642270345
2-Amino-2-Deoxy-Hexose	-0.206949209851271	0.823208614278642	-0.141125635970546	0.908256715503175	0.0658235738807251	0.981797783520186
thiamine(1+) triphosphate	0.31948973206378	0.641735968815437	0.41268016968028	0.472361696796875	0.0931904376165001	0.947852411986576
N'-[5-(3,4-dimethylanilino)-1H-1,2,4-triazol-3-yl]-N-hydroxymethanimidamide	-0.127025640442361	0.917013837828687	0.328739852023119	0.488903537515073	0.455765492465479	0.311446751342318
4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside	-0.249867692888771	0.822708512956124	-0.316930430834107	0.744528075217526	-0.067062737945336	0.988445888980754
carnitinium	-0.0873529271740937	0.957217475403651	0.160701720345077	0.841960092087778	0.248054647519171	0.688617042297352
Palmitoylputrescine	0.125613059225008	0.886254058778892	0.528525805974942	0.131762633202334	0.402912746749934	0.239595492437179
Cholestane-3,7,12,25-tetrol	0.292602489913048	0.67820127982233	0.054306338158218	0.988009251207385	-0.23829615175483	0.761427501994598
molinate	0.371997215937095	0.55904191075994	0.316636579189795	0.659202537068817	-0.0553606367473005	0.982555484904204
2-amino-4-hydroxy-6-methylpyrimidine	0.415037499278844	0.495725760772218	0.0961670098027968	0.966844601529923	-0.318870489476047	0.630862375979362
Docosanamide	0.0613445386098036	0.98307169996602	0.309260670611834	0.620361733349791	0.24791613200203	0.720243419909837
gamma-glutamylphenylalanine	-0.0207762091905784	0.994328698498102	0.671699060004504	0.013227076216683	0.692475269195082	0.0118551479140679
Keioside	-0.546155109764709	0.178048688836645	-0.494332174651775	0.218914285783285	0.0518229351129346	0.985317487929197
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	0.34265219260366	0.63006365095866	0.193713716358475	0.869037598927151	-0.148938476245185	0.899614765245863
N-purin-6-oyl-epsilon-aminocaproic acid	-0.407148039812374	0.356217746294241	-0.46267767843475	0.289898563513395	-0.0555296386223764	0.983589336413532
mitoxantrone	-0.525419595727555	0.179204934420837	-0.471358861337754	0.22445318499285	0.0540607343898013	0.982562789190233
1-isothiocyanato-7-(methylsulfinyl)heptane	0.403891781566538	0.501060494661791	0.137371943618765	0.9290478376031	-0.266519837947772	0.704620366089393
N-acetyl-2,4,10,17-tetrahydroxyheptadecylamine	0.298927080651228	0.647396714330344	0.0122750097319094	0.999354482516024	-0.286652070919319	0.666835311598295
tetrahomomethionine	0.415037499278844	0.483962930849825	0.0300140335035079	0.996730992386282	-0.385023465775336	0.524069426788016
3-(2-methyl-1H-indol-3-yl)-1-pyridin-4-yl-2-propen-1-one	0.114485607981454	0.953664899513747	0.415037499278844	0.501196027732807	0.30055189129739	0.663244906101322
hexahomomethionine S-oxide	0.11271182934772	0.947999741100476	0.0725928204620386	0.978577506721273	-0.0401190088856817	0.992857196628333
bis-gamma-glutamylcystine	-0.645567881786123	0.00744652315491479	-0.656126051170342	0.00699877262787563	-0.0105581693842182	0.997915437427374
Dieporeticenin	0.254459278981612	0.383222336000296	0.431269488295279	0.0908578567909309	0.176810209313667	0.517927441583183
8-(methylthio)octylamine	0.38947917943113	0.518780271698014	0.0820329347565601	0.974232472892685	-0.30744624467457	0.638911118330749
3-hydroxyglutaric acid	-0.248252843153462	0.770605754808031	-0.0470199024623909	0.988868809973165	0.201232940691071	0.845135446009112
AAL Toxin TA2	0.363250226541369	0.542480563632866	0.0563765032461155	0.986937283323324	-0.306873723295253	0.628115490561173
4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one	0.129594467023803	0.892266403293817	-0.0689457777519338	0.971884043183535	-0.198540244775737	0.779287538115135
12,13-EpOME(9)	0.282595498744162	0.671094750701869	0.057172686231444	0.98523164421735	-0.225422812512718	0.763578063723405
lysine	0.102707287284136	0.898536822004675	0.528101339808245	0.0829439909774508	0.425394052524109	0.146142438287388
2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	0.35653256032273	0.612532709012015	0.24954908708093	0.79246366334373	-0.1069834732418	0.945241413013073
glycerophosphatidylethanolamine	-0.0334802661583742	0.991582951422137	0.557390731256031	0.0960978617019783	0.590870997414405	0.0821149263511646
ACar 20:0	-0.282016261466788	0.715883579722468	0.231317639999686	0.725170428904701	0.513333901466474	0.321091864496797
1-[(9E)-octadecenoyl]glycerol	-0.371448399786534	0.486130914991105	0.0560849494555238	0.975466062282512	0.427533349242057	0.384939176642881
Argiopinin I	-0.31403608726453	0.459837531490925	-0.324946652966859	0.440639567584455	-0.0109105657023287	0.999146420613133
N-acetyl-S-(N-allylthiocarbamoyl)-L-cysteine	-0.397996326228437	0.499122775347235	-0.41122667305346	0.481543806434459	-0.0132303468250238	0.99935256086267
H-gamma-Glu-Tyr-OH	-0.0412191582587963	0.991490276887717	0.402130953937789	0.388821363961348	0.443350112196586	0.336597438595733
4-[[3-[anilino(oxo)methyl]-5,6,7,8-tetrahydro-4H-cyclohepta[b]thiophen-2-yl]amino]-4-oxobutanoic acid	-0.374127719624991	0.557422659061149	-0.241425912092542	0.755427048762458	0.132701807532449	0.934519581207754
Torvonin A	0.0609424182264987	0.984082522386146	0.464157347052447	0.354369154563799	0.403214928825948	0.430125280282766
9-[(methylthio)nonyl]thiohydroximic acid	-0.181908049717925	0.837747757410371	-0.498904163156532	0.389695979498253	-0.316996113438607	0.691457159152446
2-[(2-Amino-1-hydroxy-3-methylpentylidene)amino]-3-methylpentanoic acid	0.428756078993417	0.510585198107903	0.328368307440447	0.680045897967076	-0.10038777155297	0.950083076407109
10-amino-decanoic acid	-0.140649245665417	0.859030892677351	0.17958407530107	0.739694634743312	0.320233320966488	0.449746696967906
8-(methylthio)octylisothiocyanate	-0.130264290908661	0.91178794210862	-0.451684616292692	0.452925934224478	-0.321420325384031	0.675943861934742
Diptocarpilidine	0.41025166067731	0.491302255569935	0.114338944505036	0.951085221827747	-0.295912716172275	0.65710736954922
(4R,5S,7R,11S)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 11-glucoside	0.28729605890122	0.559413323119706	0.622947323493588	0.0848083176400405	0.335651264592368	0.328874288197177
elaidic acid	-0.271384033017333	0.422850879470887	0.271729168109816	0.305426933486784	0.543113201127149	0.056073522852752
